Source,Target,Weight
vercel[bot],RobPruzan,4.0
vercel[bot],DeveloperViraj,4.0
vercel[bot],haydenbleasel,16.0
vercel[bot],Rezakarimzadeh98,44.0
vercel[bot],ijjk,20.0
vercel[bot],icyJoseph,20.0
vercel[bot],CosmicJesterX,4.0
vercel[bot],xusd320,36.0
vercel[bot],jokokoloko,4.0
vercel[bot],SyMind,4.0
vercel[bot],dofaromg,12.0
vercel[bot],wbinnssmith,44.0
vercel[bot],H01001000,8.0
vercel[bot],mrjatinduggal,8.0
vercel[bot],madeByIgor,4.0
vercel[bot],circhacks,4.0
vercel[bot],ishimwereponse223-bot,4.0
vercel[bot],RobinClowers,4.0
vercel[bot],shuding,4.0
vercel[bot],SukkaW,8.0
vercel[bot],kakadiadarpan,4.0
vercel[bot],officialrajdeepsingh,4.0
vercel[bot],naaa760,4.0
vercel[bot],gaojude,16.0
vercel[bot],timneutkens,16.0
vercel[bot],wyattjoh,32.0
sokra,mischnic,309.0
sokra,bgw,86.0
sokra,devjiwonchoi,13.0
sokra,lukesandberg,128.0
sokra,timneutkens,16.0
sokra,styfle,16.0
sokra,ztanner,8.0
sokra,xusd320,20.0
sokra,wbinnssmith,32.0
sokra,lubieowoce,8.0
graphite-app[bot],mischnic,48.0
graphite-app[bot],ztanner,8.0
graphite-app[bot],huozhi,12.0
graphite-app[bot],bgw,8.0
graphite-app[bot],devjiwonchoi,8.0
graphite-app[bot],rosbitskyy,4.0
graphite-app[bot],rajnish93,8.0
graphite-app[bot],kt3k,4.0
graphite-app[bot],lukesandberg,24.0
graphite-app[bot],sokra,32.0
graphite-app[bot],gaojude,8.0
graphite-app[bot],vercel-release-bot,24.0
graphite-app[bot],logaretm,8.0
graphite-app[bot],Rezakarimzadeh98,12.0
graphite-app[bot],sevtdy,4.0
graphite-app[bot],eps1lon,16.0
graphite-app[bot],xusd320,8.0
graphite-app[bot],dofaromg,8.0
graphite-app[bot],sovetski,4.0
graphite-app[bot],lubieowoce,8.0
graphite-app[bot],wbinnssmith,28.0
graphite-app[bot],H01001000,4.0
graphite-app[bot],Amogh-2404,4.0
graphite-app[bot],mrjatinduggal,4.0
graphite-app[bot],circhacks,4.0
graphite-app[bot],RobinClowers,4.0
graphite-app[bot],officialrajdeepsingh,4.0
graphite-app[bot],wyattjoh,4.0
eps1lon,nextjs-bot,137.0
eps1lon,icyJoseph,20.0
eps1lon,mischnic,36.0
eps1lon,unstubbable,84.0
eps1lon,devjiwonchoi,13.0
eps1lon,gaojude,8.0
ijjk,styfle,8.0
ijjk,jhuleatt,13.0
ijjk,ztanner,40.0
ijjk,eps1lon,24.0
ijjk,huozhi,4.0
ijjk,dijonmusters,17.0
ijjk,wyattjoh,8.0
ijjk,vercel-release-bot,13.0
devjiwonchoi,huozhi,16.0
devjiwonchoi,eps1lon,24.0
devjiwonchoi,icyJoseph,8.0
lukesandberg,mischnic,108.0
lukesandberg,sokra,40.0
lukesandberg,huozhi,12.0
lukesandberg,bgw,32.0
lukesandberg,wbinnssmith,24.0
molebox,icyJoseph,56.0
ztanner,eps1lon,16.0
ztanner,ijjk,16.0
ztanner,acdlite,8.0
ztanner,unstubbable,8.0
ztanner,lubieowoce,4.0
huozhi,ztanner,12.0
huozhi,gaojude,36.0
huozhi,alan-ws,4.0
ismaelrumzan,allenzhou101,8.0
ismaelrumzan,icyJoseph,32.0
delbaoliveira,icyJoseph,8.0
delbaoliveira,feedthejim,8.0
styfle,gaojude,8.0
pieh,ijjk,16.0
gnoff,ztanner,40.0
gnoff,lubieowoce,16.0
gnoff,wyattjoh,16.0
elliotdauber,icyJoseph,4.0
chandraiwayan,Rezakarimzadeh98,8.0
CosmicJesterX,unstubbable,16.0
CosmicJesterX,lukesandberg,16.0
shuding,huozhi,8.0
mrdsx,rastislavelias,8.0
feedthejim,ijjk,8.0
feedthejim,tessamero,13.0
wyattjoh,ijjk,8.0
JohnPhamous,huozhi,8.0
hugotiger,remcohaszing,4.0
acdlite,SukkaW,8.0
allenzhou101,icyJoseph,8.0
dofaromg,sokra,4.0
